clipname,namefirst,namelast,setting,ppl,sessionname,sessionnotes,startdate,name
Scenes from Jazz Fest,"""Brother""","Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,"""Brother""","Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Ephram,"Towns
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Ephram,"Towns
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Benny,"Jones
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Benny,"Jones
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Kurt,"Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Kurt,"Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Roger,"Lewis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Roger,"Lewis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Kevin,"Harris
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Kevin,"Harris
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Jennell,"Marshall
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Jennell,"Marshall
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Greg,"Davis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Scenes from Jazz Fest,Greg,"Davis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,"""Brother""","Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,"""Brother""","Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Ephram,"Towns
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Ephram,"Towns
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Benny,"Jones
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Benny,"Jones
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Kurt,"Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Kurt,"Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Roger,"Lewis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Roger,"Lewis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Kevin,"Harris
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Kevin,"Harris
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Jennell,"Marshall
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Jennell,"Marshall
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Greg,"Davis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Zulu Social Aid & Pleasure Club at Jazz Fest,Greg,"Davis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),"""Brother""","Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),"""Brother""","Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Ephram,"Towns
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Ephram,"Towns
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Benny,"Jones
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Benny,"Jones
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Kurt,"Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Kurt,"Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Roger,"Lewis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Roger,"Lewis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Kevin,"Harris
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Kevin,"Harris
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Jennell,"Marshall
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Jennell,"Marshall
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Greg,"Davis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (I),Greg,"Davis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),"""Brother""","Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),"""Brother""","Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Ephram,"Towns
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Ephram,"Towns
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Benny,"Jones
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Benny,"Jones
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Kurt,"Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Kurt,"Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Roger,"Lewis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Roger,"Lewis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Kevin,"Harris
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Kevin,"Harris
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Jennell,"Marshall
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Jennell,"Marshall
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Greg,"Davis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Jazz Fest parade with Dirty Dozen Brass Band (II),Greg,"Davis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Interview with Jennell Marshall,Jennell,"Marshall
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
Interview with Jennell Marshall,Jennell,"Marshall
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982
Interview with Jennell Marshall,Alan,"Lomax
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982
